Location    Name
----------  --------------------------------------------
uksouth     0001-com-ubuntu-confidential-vm-experimental
uksouth     0001-com-ubuntu-confidential-vm-focal
uksouth     0001-com-ubuntu-confidential-vm-test-focal
uksouth     0001-com-ubuntu-minimal-focal-daily
uksouth     0001-com-ubuntu-minimal-groovy-daily
uksouth     0001-com-ubuntu-minimal-hirsute-daily
uksouth     0001-com-ubuntu-minimal-impish-daily
uksouth     0001-com-ubuntu-minimal-jammy-daily
uksouth     0001-com-ubuntu-private-fips-motorola
uksouth     0001-com-ubuntu-pro-advanced-sla
uksouth     0001-com-ubuntu-pro-advanced-sla-att
uksouth     0001-com-ubuntu-pro-advanced-sla-cfx
uksouth     0001-com-ubuntu-pro-advanced-sla-csw
uksouth     0001-com-ubuntu-pro-advanced-sla-dd
uksouth     0001-com-ubuntu-pro-advanced-sla-nestle
uksouth     0001-com-ubuntu-pro-advanced-sla-servicenow
uksouth     0001-com-ubuntu-pro-advanced-sla-shell
uksouth     0001-com-ubuntu-pro-advanced-sla-ub01
uksouth     0001-com-ubuntu-pro-advanced-sla-unp
uksouth     0001-com-ubuntu-pro-bionic
uksouth     0001-com-ubuntu-pro-bionic-fips
uksouth     0001-com-ubuntu-pro-focal
uksouth     0001-com-ubuntu-pro-focal-fips
uksouth     0001-com-ubuntu-pro-hidden-msft-fips
uksouth     0001-com-ubuntu-pro-microsoft
uksouth     0001-com-ubuntu-pro-minimal-cis-focal
uksouth     0001-com-ubuntu-pro-trusty
uksouth     0001-com-ubuntu-pro-xenial
uksouth     0001-com-ubuntu-pro-xenial-fips
uksouth     0001-com-ubuntu-server-arm-preview-focal
uksouth     0001-com-ubuntu-server-eoan
uksouth     0001-com-ubuntu-server-focal
uksouth     0001-com-ubuntu-server-focal-daily
uksouth     0001-com-ubuntu-server-groovy
uksouth     0001-com-ubuntu-server-groovy-daily
uksouth     0001-com-ubuntu-server-hirsute
uksouth     0001-com-ubuntu-server-hirsute-daily
uksouth     0001-com-ubuntu-server-impish
uksouth     0001-com-ubuntu-server-impish-daily
uksouth     0001-com-ubuntu-server-jammy-daily
uksouth     0002-com-ubuntu-minimal-bionic-daily
uksouth     0002-com-ubuntu-minimal-disco-daily
uksouth     0002-com-ubuntu-minimal-focal-daily
uksouth     0002-com-ubuntu-minimal-xenial-daily
uksouth     0003-com-ubuntu-minimal-eoan-daily
uksouth     0003-com-ubuntu-server-trusted-vm
uksouth     test-ubuntu-premium-offer-0002
uksouth     UbuntuServer
